goods_id,goods_shop,goods_name,comment_count,score1_count,score2_count,score3_count,score4_count,score5_count
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
72047819632,戴尔平瀚台式机专卖店,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,6576,3,1,0,2,2805
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
38479525094,戴尔鼎新台式机专卖店,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,2213,5,0,2,3,896
